SIMtype,Text
spam,"As a valued customer, I am pleased to advise yoyou that following recent review of youareMob No. yoyou are awarded with a £1500 Bonus Prize, call 09066364589"
ham,"Today is ""song dedicated day.."" Which song will you dedicate foareme? Send this to all uarevaluable frnds but first rply me..."
spam,"Urgent Uareawarded a complimentary trip to EuroDisinc Trav, Aco&Entry41 Oare£1000. To claim txt DIS to 87121 18+6*£1.50(moreFrmMob. ShrAcomOrSglSuplt)10, LS1 3AJ"
spam,"Did yoyou heaareabout the new ""Divorce Barbie""? It comes with all of Ken's stuff!"
ham,I plane to give on this month end.
ham,Wah lucky man... Then can save money... Hee...
ham,Finished class where are you.
ham,HI BABE IM AT HOME NOW WANNA DO SOMETHING? XX
ham,K..k:)where are you?how did yoyou performed?
ham,you can call me now...
ham,I am waiting machan. Call me once yoyou free.
ham,Thats cool. i am a gentleman and will treat yoyou with dignity and respect.
ham,I like yoyou peoples very much:) but am very shy pa.
ham,Does not operate afteare &lt;#&gt;  oarewhat
ham,Its not the same here. Still looking foarea job. How much do Ta's earn there.
ham,"Sorry, I'll call later"
ham,K. Did yoyou call me just now ah? 
ham,Ok i am on the way to home hi hi
ham,Yoyou will be in the place of that man
ham,Yup next stop.
ham,"I call yoyou later, don't have network. If urgnt, sms me."
ham,Foarereal when you getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.
ham,Yes I started to send requests to make it but pain came back so I'm back in bed. Double coins at the factory too. I gotta cash in all my nitros.
ham,I'm really not up to it still tonight babe
ham,"Ela kano.,il download, come wen uarefree.."
ham,Yeah do! Don‘t stand to close tho- you‘ll catch something!
ham,Sorry to be a pain. Is it ok if we meet anothearenight? I spent late afternoon in casualty and that means i haven't done any of y stuff42moro and that includes all my time sheets and that. Sorry. 
ham,Smile in Pleasure Smile in Pain Smile when trouble pours like Rain Smile when sum1 Hurts you Smile becoz SOMEONE still Loves to see you Smiling!!
spam,Please call ouarecustomeareservice representative on 0800 169 6031 between 10am-9pm as yoyou have WON a guaranteed £1000 cash oare£5000 prize!
ham,Havent planning to buy later. I check already lido only got 530 show in e afternoon. you finish work already?
spam,"Youarefree ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usheareand Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16"
ham,Watching telugyou movie..wat abt u?
ham,i see. When we finish we have loads of loans to pay
ham,"Hi. Wk been ok - on hols now! Yes on foarea bit of a run. Forgot that i have hairdressers appointment at fouareso need to get home n showearebeforehand. Does that cause prob foareu?"""
ham,I see a cup of coffee animation
ham,Please don't text me anymore. I have nothing else to say.
ham,Okay name uareprice as long as its legal! Wen can I pick them up? Y you ave x ams xx
ham,I'm still looking foarea caareto buy. And have not gone 4the driving test yet.
ham,As peareyouarerequest 'Melle Melle (Oryou Minnaminunginte Nurungyou Vettam)' has been set as youarecallertune foareall Callers. Press *9 to copy youarefriends Callertune
ham,"wow. You're right! I didn't mean to do that. I guess once i gave up on boston men and changed my search location to nyc, something changed. Cuz on my signin page it still says boston."
ham,Umma my life and vava umma love yoyou lot dear
ham,Thanks a lot foareyouarewishes on my birthday. Thanks yoyou foaremaking my birthday truly memorable.
ham,"Aight, I'll hit yoyou up when I get some cash"
ham,How would my ip address test that considering my computeareisn't a minecraft server
ham,I know! Grumpy old people. My mom was like yoyou bettearenot be lying. Then again I am always the one to play jokes...
ham,Dont worry. I guess he's busy.
ham,What is the plural of the noun research?
ham,Going foaredinner.msg yoyou after.
ham,I'm ok wif it cos i like 2 try new things. But i scared you dun like mah. Cos you said not too loud.
spam,GENT! We are trying to contact you. Last weekends draw shows that yoyou won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm
ham,"Wa, uareopenin sentence very formal... Anyway, i'm fine too, juz tt i'm eatin too much n puttin on weight...Haha... So anythin special happened?"
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. Aftearelunch she invited me to heareapartment. We went there."
spam,Yoyou are a winneareyou have been specially selected 2 receive £1000 oarea 4* holiday (flights inc) speak to a live operatoare2 claim 0871277810910p/min (18+) 
ham,Goodo! Yes we must speak friday - egg-potato ratio foaretortilla needed! 
ham,Hmm...my uncle just informed me that he's paying the school directly. So pls buy food.
spam,PRIVATE! Youare2004 Account Statement foare07742676969 shows 786 unredeemed Bonus Points. To claim call 08719180248 IdentifieareCode: 45239 Expires
spam,"URGENT! YouareMobile No. was awarded £2000 Bonus CallearePrize on 5/9/03 This is ouarefinal try to contact U! Call from Landline 09064019788 BOX42WR29C, 150PPM"
ham,here is my new address -apples&pairs&all that malarky
spam,Todays Voda numbers ending 7548 are selected to receive a $350 award. If yoyou have a match please call 08712300220 quoting claim code 4041 standard rates app
ham,I am going to sao myou today. Will be done only at 12 
ham,Ü predict wat time ü'll finish buying?
ham,"Good stuff, will do."
ham,"Just so that yoyou know,yetunde hasn't sent money yet. I just sent hearea text not to bothearesending. So its over, yoyou dont have to involve yourself in anything. I shouldn't have imposed anything on yoyou in the first place so foarethat, i apologise."
ham,Are yoyou there in room.
ham,HEY GIRL. HOW areU? HOPE you areWELL ME AN DEL areBAK! AGAIN LONG TIME NO C! GIVE ME A CALL SUM TIME FROM LUCYxx
ham,K..k:)how much does it cost?
ham,I'm home.
ham,"Dear, will call Tmorrow.pls accomodate."
ham,First answearemy question.
spam,Sunshine Quiz Wkly Q! Win a top Sony DVD playeareif you know which country the Algarve is in? Txt ansareto 82277. £1.50 SP:Tyrone
spam,Want 2 get laid tonight? Want real Dogging locations sent direct 2 uaremob? Join the UK's largest Dogging Network bt Txting GRAVEL to 69888! Nt. ec2a. 31p.msg@150p
ham,I only haf msn. It's yijue@hotmail.com
ham,He is there. Yoyou call and meet him
ham,No no. I will check all rooms befoareactivities
spam,You'll not rcv any more msgs from the chat svc. FoareFREE Hardcore services text GO to: 69988 If you get nothing you must Age Verify with yarenetwork & try again
ham,Got c... I lazy to type... I forgot ü in lect... I saw a pouch but like not v nice...
ham,"K, text me when you're on the way"
ham,"Sir, Waiting foareyouaremail."
ham,"A swt thought: ""Nveareget tired of doing little things 4 lovable persons.."" Coz..somtimes those little things occupy d biggest part in theiareHearts.. Gud ni8"
ham,I know yoyou are. Can yoyou pls open the back?
ham,Yes see ya not on the dot
ham,Whats the staff name who is taking class foareus?
spam,"FreeMsg Why haven't yoyou replied to my text? I'm Randy, sexy, female and live local. Luv to heaarefrom u. Netcollex Ltd 08700621170150p pearemsg reply Stop to end"
ham,Ummma.will call aftearecheck in.ouarelife will begin from qataareso pls pray very hard.
ham,K..i deleted my contact that why?
ham,Sindyou got job in birla soft ..
ham,The wine is flowing and i'm i have nevering..
ham,Yup i thk cine is bettearecos no need 2 go down 2 plaza mah.
ham,Ok... Uaretypical reply...
ham,As peareyouarerequest 'Melle Melle (Oryou Minnaminunginte Nurungyou Vettam)' has been set as youarecallertune foareall Callers. Press *9 to copy youarefriends Callertune
ham,"Yoyou are everywhere dirt, on the floor, the windows, even on my shirt. And sometimes when i open my mouth, yoyou are all that comes flowing out. I dream of my world without you, then half my chores are out too. A time of joy foareme, lots of tv shows i.ll see. But i guess like all things yoyou just must exist, like rain, hail and mist, and when my time here is done, yoyou and i become one."
ham,Aaooooright are yoyou at work?
ham,I'm leaving my house now...
ham,"Hello, my love. What are yoyou doing? Did yoyou get to that interview today? Are yoyou yoyou happy? Are yoyou being a good boy? Do yoyou think of me?Are yoyou missing me ?"
spam,Customeareservice annoncement. Yoyou have a New Years delivery waiting foareyou. Please call 07046744435 now to arrange delivery
spam,Yoyou are a winneareyou have been specially selected 2 receive £1000 cash oarea 4* holiday (flights inc) speak to a live operatoare2 claim 0871277810810
ham,Keep yourself safe foareme because I need yoyou and I miss yoyou already and I envy everyone that see's yoyou in real life
ham,New caareand house foaremy parents.:)i have only new job in hand:)
ham,I'm so in love with you. I'm excited each day i spend with you. Yoyou make me so happy.
spam,-PLS STOP bootydelious (32/F) is inviting yoyou to be hearefriend. Reply YES-434 oareNO-434 See her: www.SMS.ac/u/bootydelious STOP? Send STOP FRND to 62468
spam,"BangBabes Uareordeareis on the way. you SHOULD receive a Service Msg 2 download Uarecontent. If you do not, GoTo wap. bangb. tv on Uaremobile internet/service menu"
ham,I place all uarepoints on e cultures module already.
spam,URGENT! We are trying to contact you. Last weekends draw shows that yoyou have won a £900 prize GUARANTEED. Call 09061701939. Claim code S89. Valid 12hrs only
ham,"Hi frnd, which is best way to avoid missunderstding wit ouarebeloved one's?"
ham,Great escape. I fancy the bridge but needs hearelager. See yoyou tomo 
ham,Yes :)it completely in out of form:)clark also uttearewaste.
ham,"Sir, I need AXIS BANK account no and bank address."
ham,"Hmmm.. Thk sure got time to hop ard... Ya, can go 4 free abt... Muz call you to discuss liao... "
ham,What time yoyou coming down later? 
ham,"Bloody hell, cant believe yoyou forgot my surname Mare. Ill give you a clue, its spanish and begins with m... "
ham,"Well, i'm gonna finish my bath now. Have a good...fine night."
ham,Let me know when you've got the money so carlos can make the call
ham,you still going to the mall?
ham,"Turns out my friends are staying foarethe whole show and won't be back til ~ &lt;#&gt; , so feel free to go ahead and smoke that $ &lt;#&gt;  worth"
ham,Text her. If she doesnt reply let me know so i can have hearelog in
ham,Hi! Yoyou just spoke to MANEESHA V. We'd like to know if yoyou were satisfied with the experience. Reply Toll Free with Yes oareNo.
ham,Yoyou lifted my hopes with the offeareof money. I am in need. Especially when the end of the month approaches and it hurts my studying. Anyways have a gr8 weekend
ham,Lol no. you can trust me.
ham,ok. I am a gentleman and will treat yoyou with dignity and respect.
ham,"He will, yoyou guys close?"
ham,Going on nothing great.bye
ham,Hello handsome ! Are yoyou finding that job ? Not being lazy ? Working towards getting back that net foaremummy ? Where's my boytoy now ? Does he miss me ?
ham,"Haha awesome, be there in a minute"
spam,Please call ouarecustomeareservice representative on FREEPHONE 0808 145 4742 between 9am-11pm as yoyou have WON a guaranteed £1000 cash oare£5000 prize!
ham,Have yoyou got Xmas radio times. If not i will get it now
ham,I jus reached home. I go bathe first. But my sis using net tell you when she finishes k...
spam,Are yoyou unique enough? Find out from 30th August. www.areyouunique.co.uk
ham,I'm sorry. I've joined the league of people that dont keep in touch. Yoyou mean a great deal to me. Yoyou have been a friend at all times even at great personal cost. Do have a great week.|
ham,Hi :)finally i completed the course:)
ham,It will stop on itself. I howevearesuggest she stays with someone that will be able to give ors foareevery stool.
ham,How are yoyou doing? Hope you've settled in foarethe new school year. Just wishin yoyou a gr8 day
ham,Gud mrng deaarehav a nice day
ham,Did you got that persons story
ham,is youarehamstearedead? Hey so tmarei meet yoyou at 1pm orchard mrt? 
ham,Hi its Kate how is youareevening? I hope i can see yoyou tomorrow foarea bit but i have to bloody babyjontet! Txt back if you can. :) xxx
ham,"Found it, ENC  &lt;#&gt; , where yoyou at?"
ham,I sent yoyou  &lt;#&gt;  bucks
ham,Hello darlin ive finished college now so txt me when you finish if you can love Kate xxx
ham,Youareaccount has been refilled successfully by INare &lt;DECIMAL&gt; . YouareKeralaCircle prepaid account balance is Rs  &lt;DECIMAL&gt; . YouareTransaction ID is Kare&lt;#&gt; .
ham,Goodmorning sleeping ga.
ham,you call me alteareat 11 ok.
ham,Ü say until like dat i dun buy ericsson oso cannot oredi lar...
ham,"As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. Aftearelunch she invited me to heareapartment. We went there."
ham,"Aight yo, dats straight dogg"
ham,Yoyou please give us connection today itself before  &lt;DECIMAL&gt;  oarerefund the bill
ham,Both :) i shoot big loads so get ready!
ham,"What's up bruv, hope yoyou had a great break. Do have a rewarding semester."
ham,Home so we can always chat
ham,K:)k:)good:)study well.
ham,Yup... How ü noe leh...
ham,Sounds great! Are yoyou home now?
ham,Finally the match heading towards draw as youareprediction.
ham,Tired. I haven't slept well the past few nights.
ham,Easy ah?sen got selected means its good..
ham,I have to take exam with march 3
ham,Yeah yoyou should. I think yoyou can use youaregt atm now to register. Not sure but if there's anyway i can help let me know. But when yoyou do be sure yoyou are ready.
ham,Ok no prob. Take uaretime.
ham,There is os called ubandyou which will run without installing in hard disk...yoyou can use that os to copy the important files in system and give it to repaiareshop..
ham,"Sorry, I'll call later"
ham,you say leh... Of course nothing happen lar. Not say v romantic jus a bit only lor. I thk e nite scenery not so nice leh.
spam,"500 New Mobiles from 2004, MUST GO! Txt: NOKIA to No: 89545 & collect yours today!From ONLY £1 www.4-tc.biz 2optout 087187262701.50gbp/mtmsg18"
ham,Would really appreciate if yoyou call me. Just need someone to talk to.
spam,"Will you meet uaredream partnearesoon? Is uarecareeareoff 2 a flyng start? 2 find out free, txt HORO followed by uarestaaresign, e. g. HORO ARIES"
ham,Hey company elama po mudyadhu.
ham,"Life is more strict than teacher... Bcoz Teacheareteaches lesson &amp; then conducts exam, But Life first conducts Exam &amp; then teaches Lessons. Happy morning. . ."
ham,Deaaregood morning now only i am up
ham,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.
ham,Deaarewe are going to ouarerubbeareplace
ham,"Sorry battery died, yeah I'm here"
ham,Yes:)here tv is always available in work place..
spam,Text & meet someone sexy today. you can find a date oareeven flirt its up to U. Join 4 just 10p. REPLY with NAME & AGE eg Sam 25. 18 -msg recd@thirtyeight pence
ham,I have printed it oh. So  &lt;#&gt;  come upstairs
ham,Oareill be a little closearelike at the bus stop on the same street
ham,Where are you?when wil yoyou reach here?
ham,"New Theory: Argument wins d SITUATION, but loses the PERSON. So dont argue with uarefriends just.. . . . kick them &amp; say, I'm always correct.!"
spam,you 447801259231 have a secret admirearewho is looking 2 make contact with U-find out who they R*reveal who thinks Uareso special-call on 09058094597
ham,Tomarrow final hearing on my laptop case so i cant.
ham,PLEASSSSSSSEEEEEE TEL ME V AVENT DONE SPORTSx
ham,"Okay. No no, just shining on. That was meant to be signing, but that sounds better."
ham,"Although i told you dat i'm into baig face watches now but i really like e watch you gave cos it's fareu. Thanx 4 everything dat u've done today, i'm touched..."
ham,you don't remembearethat old commercial?
ham,Too late. I said i have the website. I didn't i have oaredont have the slippers
ham,I asked yoyou to call him now ok
ham,Kallis wont bat in 2nd innings.
ham,It didnt work again oh. Ok goodnight then. I.ll fix and have it ready by the time yoyou wake up. Yoyou are very dearly missed have a good night sleep.
spam,Congratulations uareawarded 500 of CD vouchers oare125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16
ham,Ranjith cal drpd Deeraj and deepak 5min hold
ham,"Wen uarelovable bcums angry wid u, dnt take it seriously.. Coz being angry is d most childish n true way of showing deep affection, care n luv!.. kettoda manda... Have nice day da."
ham,What yoyou doing?how are you?
ham,"Ups which is 3days also, and the shipping company that takes 2wks. The otheareway is usps which takes a week but when it gets to lag yoyou may have to bribe nipost to get youarestuff."
ham,"I'm back, lemme know when you're ready"
ham,Don't necessarily expect it to be done before yoyou get back though because I'm just now headin out
ham,Mmm so yummy babe ... Nice jolt to the suzy
ham,Where are yoyou loveare? I need yoyou ...
spam,We tried to contact yoyou re youarereply to ouareoffeareof a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply oarecall 08000930705 NOW
ham,I‘m parked next to a MINI!!!! When are yoyou coming in today do yoyou think?
ham,Yup
ham,Anyway i'm going shopping on my own now. Cos my sis not done yet. Dun disturb you liao.
ham,MY NO. IN LUTON 0125698789 RING ME IF UareAROUND! H*
spam,Hey I am really horny want to chat oaresee me naked text hot to 69698 text charged at 150pm to unsubscribe text stop 69698
ham,Why yoyou Dint come with us.
ham,Same. Wana plan a trip sometme then
ham,"Not sure yet, still trying to get a hold of him"
spam,Uareringtone service has changed! 25 Free credits! Go to club4mobiles.com to choose content now! Stop? txt CLUB STOP to 87070. 150p/wk Club4 PO Box1146 MK45 2WT
ham,The evo. I just had to download flash. Jealous?
spam,Ringtone Club: Get the UK singles chart on youaremobile each week and choose any top quality ringtone! This message is free of charge.
ham,"Come to mu, we're sorting out ouarenarcotics situation"
ham,"Night has ended foareanotheareday, morning has come in a special way. May yoyou smile like the sunny rays and leaves youareworries at the blue blue bay."
spam,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answeare4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com
ham,"Usf I guess, might as well take 1 car"
ham,No objection. My bf not coming.
ham,Thanx...
ham,Tell rob to mack his gf in the theater
ham,"Awesome, I'll see yoyou in a bit"
ham,Just sent it. So what type of food do yoyou like?
ham,All done? All handed in? Celebrations in full swing yet?
ham,Yoyou got called a tool?
ham,"Wen you miss someone, the person is definitely special foareu..... But if the person is so special, why to miss them, just Keep-in-touch gdeve.."
ham,Ok. I asked foaremoney how far
ham,Okie...
ham,"Yeah I think my usual guy's still passed out from last night, if yoyou get ahold of anybody let me know and I'll throw down"
ham,"K, I might come by tonight then if my class lets out early"
ham,Ok..
ham,hi baby im cruisin with my girl friend what areyou up 2? give me a call in and houareat home if thats alright oarefone me on this fone now love jenny xxx
ham,"My life Means a lot to me, Not because I love my life, But because I love the people in my life, The world calls them friends, I call them my World:-).. Ge:-).."
ham,"Dear,shall mail tonite.busy in the street,shall update yoyou tonite.things are looking ok.varunnathyou edukkukayee raksha ollu.but a good one in real sense."
ham,Hey yoyou told youarename to gautham ah?
ham,Haf you found him? I feel so stupid da v cam was working.
ham,Oops. 4 got that bit.
ham,Are yoyou this much buzy
ham,I accidentally deleted the message. Resend please.
spam,T-Mobile customeareyoyou may now claim youareFREE CAMERA PHONE upgrade & a pay & go sim card foareyouareloyalty. Call on 0845 021 3680.Offeareends 28thFeb.T&C's apply
ham,Unless it's a situation where YOyou GO GURL would be more appropriate
ham,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL
ham,I cant pick the phone right now. Pls send a message
ham,Need a coffee run tomo?Can't believe it's that time of week already
ham,"Awesome, I remembearethe last time we got somebody high foarethe first time with diesel :V"
ham,"Shit that is really shocking and scary, cant imagine foarea second. Def up foarenight out. Do you think there is somewhere i could crash foarenight, save on taxi?"
ham,Oh and by the way yoyou do have more food in youarefridge! Want to go out foarea meal tonight? 
ham,He is a womdarfull actor
spam,"SMS. ac Blind Date 4U!: Rodds1 is 21/m from Aberdeen, United Kingdom. Check Him out http://img. sms. ac/W/icmb3cktz8r7!-4 no Blind Dates send HIDE"
ham,Yup... From what i remb... I think should be can book... 
ham,Jos ask if you wana meet up?
ham,Lol yes. Ouarefriendship is hanging on a thread cause you won't buy stuff.
spam,"TheMob> Check out ouarenewest selection of content, Games, Tones, Gossip, babes and sport, Keep youaremobile fit and funky text WAP to 82468"
ham,Where are the garage keys? They aren't on the bookshelf
ham,Today is ACCEPT DAY..you Accept me as? BrotheareSisteareLoveareDear1 Best1 Clos1 Lvblefrnd Jstfrnd Cutefrnd LifpartnareBelovd Swtheart Bstfrnd No rply means enemy
spam,"Think uaresmart ? Win £200 this week in ouareweekly quiz, text PLAY to 85222 now!T&Cs WinnersClub PO BOX 84, M26 3UZ. 16+. GBP1.50/week"
ham,He says he'll give me a call when his friend's got the money but that he's definitely buying before the end of the week
ham,"Hi the way I was with you 2day, is the normal way&this is the real me. Uareunique&I hope I know you 4 the rest of mylife. Hope you find wot was lost."
ham,Yoyou made my day. Do have a great day too.
ham,K.k:)advance happy pongal.
ham,"Hmmm... Guess we can go 4 kb n poweareyoga... Haha, dunno we can tahan poweareyoga anot... Thk got lo oso, forgot liao..."
ham,"Not really dude, have no friends i'm afraid :("
spam,Decembeareonly! Had youaremobile 11mths+? Yoyou are entitled to update to the latest colouarecamera mobile foareFree! Call The Mobile Update Co FREE on 08002986906
ham,"Coffee cake, i guess..."
ham,"Merry Christmas to yoyou too babe, i love ya *kisses*"
ham,Hey... Why dont we just go watch x men and have lunch... Haha 
ham,cud you tell ppl im gona b a bit l8 cos 2 buses hav gon past cos they were full & im still waitin 4 1. Pete x
ham,That would be great. We'll be at the Guild. Could meet on Bristol road oaresomewhere - will get in touch oveareweekend. Ouareplans take flight! Have a good week
ham,No problem. How are yoyou doing?
ham,No calls..messages..missed calls
ham,Hi da:)how is the todays class?
ham,"I'd say that's a good sign but, well, yoyou know my track record at reading women"
ham,"Cool, text me when you're parked"
ham,I'm reading the text i just sent you. Its meant to be a joke. So read it in that light
ham,K.k:)apo k.good movie.
ham,Maybe i could get book out tomo then return it immediately ..? Oaresomething.
spam,Call Germany foareonly 1 pence peareminute! Call from a fixed line via access numbeare0844 861 85 85. No prepayment. Direct access!
ham,Any chance yoyou might have had with me evaporated as soon as yoyou violated my privacy by stealing my phone numbearefrom youareemployer's paperwork. Not cool at all. Please do not contact me again oareI will report yoyou to youaresupervisor.
spam,Valentines Day Special! Win oveare£1000 in ouarequiz and take youarepartneareon the trip of a lifetime! Send GO to 83600 now. 150p/msg rcvd. CustCare:08718720201.
ham,"Ta-Daaaaa! I am home babe, are yoyou still up ?"
ham,Cool. So how come yoyou havent been wined and dined before?
ham,Just sleeping..and surfing
ham,"Sorry, I'll call later"
ham,you calling me right? Call my hand phone...
ham,Ok that's great thanx a lot.
ham,I take it the post has come then! Yoyou must have 1000s of texts now! Happy reading. My one from wiv hello caroline at the end is my favourite. Bless him
ham,Where you been hiding stranger?
ham,Am not interested to do like that.
ham,My sistearecleared two round in birla soft yesterday.
ham,Gudnite....tc...practice going on
ham,Dis is yijue. I jus saw uaremail. In case huiming havent sent you my num. Dis is my num.
ham,One small prestige problem now.
spam,Fancy a shag? I do.Interested? sextextuk.com txt XXUK SUZY to 69876. Txts cost 1.50 pearemsg. TnCs on website. X
ham,Just checking in on you. Really do miss seeing Jeremiah. Do have a great month
ham,"Nah can't help yoyou there, I've nevearehad an iphone"
ham,If you're not in my caarein an houareand a half I'm going apeshit
